Id,BlockNumber,Timestamp,MakerToken,MakerAmount,TakerToken,TakerAmount,Method
0x3c9db1e656b91361c2e99022750d7de78beda877e641ea14f92e269558749f58-0x4cf676699ae2bc3dbde99eba1e1d473187cab55ab86d245820855ceef73d8ea0-210,16570692,1675697915,0xdac17f958d2ee523a2206206994597c13d831ec7,31453761,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4000000000000000,ByProtocol
0xd4733cfd983c2567a8a3f6e8dd62560a87189a7d24279c77bd19c2feea3d4fd9-0xb035d271ff09ed8ff7df5722b91a2a7ef3edff419697fe0ef00b38aed15932fb-106,16575972,1675761635,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,160000000,ByTrader
0x30d1dd8e56b896b7add8d805511116d48a0d4d0b147767163abf7ceec17bb69f-0x6fe78a977ff9f12d613463338b840a17ba7746cf17241b4e5d62bcdce19646a5-127,16577379,1675778687,0xdac17f958d2ee523a2206206994597c13d831ec7,160000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,90000000000000000,ByProtocol
0x44b0498fd37ef79220db8bb81178b178f1479e10f6f18a11221d74e0cf13c231-0x4e278c095ce131f6b42f85c86a9913ced07c1767d2f73c363713ca09a62c699c-400,16582206,1675836899,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,33000000,ByTrader
0xd927d0cf7c77d87f1682d394303f15a9bc24f8906ff07774121d2a32b6461ef0-0x90b85259ca573034ab2dcbfde8beddc617ea377edaa80bc07cb8fa479857caac-129,16582624,1675841939,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,23000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,38000000,ByTrader
0xedced6e290e0318aa4bfbcce578542170db98d35504184dfbfbba1be3f7faa62-0x3b426c60eda7ee8ab4a46f79c2e6cbfa0192bf462287a17d167e62514e72d693-158,16583047,1675847063,0xdac17f958d2ee523a2206206994597c13d831ec7,154424537,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,83000000000000000,ByProtocol
0xe2858a0b5dd24e3f5aa6c26325f4066a97deeb48d9329a9705c30a40479a318b-0xc9547d4a3f40f8130cad2da8d5816a4d254a7cc2f4a56dec6d62b20aa06664fa-119,16583150,1675848311,0xdac17f958d2ee523a2206206994597c13d831ec7,160000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,92690000000000000,ByProtocol
0x0d0a9a2303cb5663dc82e2eee7969d094cc91b2a6c20c40e640eec29543bd420-0xb70853238c95cf6eec9f95e5cd8b0205aadf1d20da4dafd62d54621da217a03a-229,16588608,1675914443,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,90000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,137000000,ByProtocol
0x3bd4b7930a944931f83e3cb8e3d1daa61cfc407a0c74739a5556a0e0282b2238-0x4320100463ab863ba8a1d5efc6ffaebcd6da6be321f1214941d6317b55304ae1-185,16588653,1675914983,0xdac17f958d2ee523a2206206994597c13d831ec7,179418116,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,105000000000000000,ByProtocol
0x5466e0290c23d705317a039a3c17795bce6796f52c34ca4f623081e7a9317052-0xdb655dd3b7aeb7beac48806c798b75202d0f0a57ff7fd7c6b97da43544d3d0ea-211,16588754,1675916207,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,155000000,ByProtocol
0x834365010cb51d980bf4629d9d24c0d4f4903052944aa01645f9bad3a3fb9d3e-0xe6ee7b3d9b1844fd99f7b0145fb765fad3780df33128c7e0c5cb07cc0f5a391d-230,16590249,1675934219,0xdac17f958d2ee523a2206206994597c13d831ec7,155000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,89200000000000000,ByProtocol
0x840ee8388452ab3bb4bd92cf87ab2e47e90c5e80647e5b07a43941e30a841f25-0x54aa44dbff2b398265e95c1e4c55d5481ae207f53100cc2e6b6dab84391c7b39-264,16593263,1675970675,0xdac17f958d2ee523a2206206994597c13d831ec7,100000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,62500000000000000,ByTrader
0x1dea8a05fe1edd13d37f15fd59c72636ff09b7c4a08cd41c01a2bacb6b1ea6a7-0x110a293e141dfa24a086dfa691a94f6da5fbfbac13a2b1ae184c766aa8d8e3f0-115,16596902,1676014547,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,96890000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,145000000,ByProtocol
0x75f091a8c469c5b6ca870f045cb0ab1513d74b60508fcb7d281def33bc498f0f-0x5f35d9996ddce2b3121eebc0eb053147dac4e7034a8b49758bb4ec1a85de9185-129,16597863,1676026139,0xdac17f958d2ee523a2206206994597c13d831ec7,189000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,121000000000000000,ByProtocol
0xabdf0cdb93ea27ad656b9b9248d83824a19f75179c5a1f74007bb8aa9bf5f342-0x7327409c9df40518123a9ea4c70372502c2f414e9ef06c4dd5a46c91288b492d-214,16615566,1676239775,0x6b175474e89094c44da98b954eedeac495271d0f,4278268634000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2842703411295681063,ByProtocol
0x3cc4922eb836ccfd5ad691b2dfe282343fef3a4275970b79087a69677867fca7-0xe1e5b82f29605c305c5d5130e851208d5aa55172402db8418f2fc7e40a07a292-95,16618159,1676271035,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,121000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,180000000,ByProtocol
0xff1fd617df2176df1ff22c10bc5740d66e574e2590a7d96c00fd7e501186ee82-0xb66e4bf1aa77008539c12d081c275da3902bed13b0908eeceb9d1824b8b5f55e-111,16618624,1676276687,0xdac17f958d2ee523a2206206994597c13d831ec7,250000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,165016501650165016,ByProtocol
